tiempo,paso,n_part
17.910036,0.018,0
17.931036,0.021,0
17.950035,0.019,0
17.972034,0.022,0
17.992035,0.02,0
18.011034,0.019,0
18.030033,0.019,0
18.049032,0.019,0
18.069033,0.02,0
18.089033,0.02,0
18.112034,0.023,0
18.130033,0.018,0
18.149033,0.019,0
18.169033,0.02,0
18.191032,0.022,0
18.209032,0.018,0
18.230032,0.021,0
18.249031,0.019,0
18.27103,0.022,0
18.28903,0.018,0
18.30903,0.02,0
18.332031,0.023,0
18.35003,0.018,0
18.37203,0.022,0
18.39003,0.018,0
18.41103,0.021,0
18.430029,0.019,0
18.45003,0.02,0
18.469028,0.019,0
18.491028,0.022,0
18.510027,0.019,0
18.530027,0.02,0
18.550028,0.02,0
18.569027,0.019,0
18.590027,0.021,0
18.612026,0.022,0
18.630026,0.018,0
18.650026,0.02,0
18.669025,0.019,0
18.689026,0.02,0
18.711025,0.022,0
18.729025,0.018,0
18.750025,0.021,0
18.770025,0.02,0
18.789024,0.019,0
18.809025,0.02,0
18.831024,0.022,0
18.850023,0.019,0
18.870024,0.02,0
18.892023,0.022,0
18.910023,0.018,0
18.930023,0.02,0
18.951023,0.021,0
18.969023,0.018,0
18.991022,0.022,0
19.012022,0.021,0
19.031021,0.019,0
19.05002,0.019,0
19.07002,0.02,0
19.090021,0.02,0
19.111021,0.021,0
19.131021,0.02,0
19.15002,0.019,0
19.170021,0.02,0
19.18902,0.019,0
19.21202,0.023,0
19.229021,0.017,0
19.249022,0.02,0
19.27102,0.022,0
19.28902,0.018,0
19.309021,0.02,0
19.332022,0.023,0
19.350021,0.018,0
19.371021,0.021,0
19.391022,0.02,0
19.41002,0.019,0
19.42902,0.019,0
19.45202,0.023,0
19.472021,0.02,0
19.49002,0.018,0
19.50902,0.019,0
19.52902,0.02,0
19.54902,0.02,0
19.57002,0.021,0
19.58902,0.019,0
19.60902,0.02,0
19.62902,0.02,0
19.652021,0.023,0
19.669022,0.017,0
19.689022,0.02,0
19.709023,0.02,0
19.730022,0.021,0
19.749022,0.019,0
19.769022,0.02,0
19.791021,0.022,0
19.809021,0.018,0
19.829021,0.02,0
19.850021,0.021,0
19.86902,0.019,0
19.892021,0.023,0
19.912022,0.02,0
19.932022,0.02,0
19.952023,0.02,0
19.973022,0.021,0
19.991022,0.018,0
20.011023,0.02,0
20.031023,0.02,0
20.050022,0.019,0
20.070023,0.02,0
20.090023,0.02,0
20.112022,0.022,0
20.130022,0.018,0
20.151022,0.021,0
20.169022,0.018,0
20.190022,0.021,0
20.210022,0.02,0
20.229021,0.019,0
20.250021,0.021,0
20.27102,0.021,0
20.291021,0.02,0
20.309021,0.018,0
20.329021,0.02,0
20.349022,0.02,0
20.371021,0.022,0
20.38902,0.018,0
20.409021,0.02,0
20.432022,0.023,0
20.449022,0.017,0
20.470022,0.021,0
20.489021,0.019,0
20.509022,0.02,0
20.529022,0.02,0
20.549023,0.02,0
20.572023,0.023,0
20.592024,0.02,0
20.612024,0.02,0
20.630024,0.018,0
20.650024,0.02,0
20.670025,0.02,0
20.691025,0.021,0
20.711025,0.02,0
20.733025,0.022,0
20.750025,0.017,0
20.770025,0.02,0
20.789024,0.019,0
20.810024,0.021,0
20.829023,0.019,0
20.849024,0.02,0
20.871023,0.022,0
20.892023,0.021,0
20.910023,0.018,0
20.929022,0.019,0
20.949022,0.02,0
20.971022,0.022,0
20.99002,0.019,0
21.00902,0.019,0
21.02902,0.02,0
21.05102,0.022,0
21.06902,0.018,0
21.09002,0.021,0
21.11102,0.021,0
21.13102,0.02,0
21.15202,0.021,0
21.16902,0.017,0
21.19002,0.021,0
21.212019,0.022,0
21.22902,0.017,0
21.25002,0.021,0
21.272018,0.022,0
21.292019,0.02,0
21.31202,0.02,0
21.32902,0.017,0
21.35002,0.021,0
21.369019,0.019,0
21.39202,0.023,0
21.410019,0.018,0
21.431019,0.021,0
21.455019,0.024,0
21.470018,0.015,0
21.491018,0.021,0
21.510017,0.019,0
21.532017,0.022,0
21.550016,0.018,0
21.573017,0.023,0
21.591017,0.018,0
21.610016,0.019,0
21.631016,0.021,0
21.651016,0.02,0
21.670015,0.019,0
21.690016,0.02,0
21.710016,0.02,0
21.730017,0.02,0
21.751017,0.021,0
21.770016,0.019,0
21.791016,0.021,0
21.810015,0.019,0
21.831015,0.021,0
21.849014,0.018,0
21.872015,0.023,0
21.892015,0.02,0
21.911015,0.019,0
21.931015,0.02,0
21.951015,0.02,0
21.973015,0.022,0
21.991014,0.018,0
22.012014,0.021,0
22.032015,0.02,0
22.052015,0.02,0
22.070015,0.018,0
22.091015,0.021,0
22.112015,0.021,0
22.130014,0.018,0
22.151014,0.021,0
22.169014,0.018,0
22.190014,0.021,0
22.210014,0.02,0
22.231014,0.021,0
22.251015,0.02,0
22.269014,0.018,0
22.290014,0.021,0
22.309013,0.019,0
22.331013,0.022,0
22.352013,0.021,0
22.371012,0.019,0
22.389011,0.018,0
22.410011,0.021,0
22.431011,0.021,0
22.45001,0.019,0
22.47101,0.021,0
22.49301,0.022,0
22.51101,0.018,0
22.53101,0.02,0
22.55201,0.021,0
22.571009,0.019,0
22.590008,0.019,0
22.610008,0.02,0
22.630009,0.02,0
22.649008,0.019,0
22.670008,0.021,0
22.692007,0.022,0
22.711006,0.019,0
22.730005,0.019,0
22.750006,0.02,0
22.772005,0.022,0
22.792006,0.02,0
22.812006,0.02,0
22.831005,0.019,0
22.851006,0.02,0
22.870005,0.019,0
22.892004,0.022,0
22.909004,0.017,0
22.931004,0.022,0
22.951004,0.02,0
22.971004,0.02,0
22.991005,0.02,0
23.009005,0.018,0
23.031004,0.022,0
23.051004,0.02,0
23.069004,0.018,0
23.091003,0.022,0
23.111004,0.02,0
23.130003,0.019,0
23.151003,0.021,0
23.172003,0.021,0
23.191002,0.019,0
23.211002,0.02,0
23.231003,0.02,0
23.251003,0.02,0
23.269003,0.018,0
23.291002,0.022,0
23.309002,0.018,0
23.330002,0.021,0
23.349,0.019,0
23.369001,0.02,0
23.389002,0.02,0
23.410002,0.021,0
23.430002,0.02,0
23.452002,0.022,0
23.470001,0.018,0
23.489,0.019,0
23.51,0.021,0
23.53,0.02,0
23.549,0.019,0
23.569,0.02,0
23.589,0.02,0
23.61,0.021,0
23.631,0.021,0
23.649,0.018,0
23.673,0.024,0
23.69,0.017,0
23.711,0.021,0
23.733,0.022,50
23.754,0.021,50
23.769,0.015,50
23.789999,0.021,50
23.808998,0.019,50
23.829998,0.021,50
23.848997,0.019,50
23.868998,0.02,50
23.889997,0.021,50
23.908997,0.019,50
23.928997,0.02,50
23.949997,0.021,50
23.970997,0.021,50
23.989996,0.019,50
24.008995,0.019,50
24.029995,0.021,50
24.049995,0.02,50
24.068995,0.019,50
24.090994,0.022,50
24.110994,0.02,50
24.131994,0.021,50
24.151995,0.02,50
24.168995,0.017,50
24.189995,0.021,50
24.208994,0.019,50
24.228994,0.02,50
24.250994,0.022,50
24.268993,0.018,50
24.290993,0.022,50
24.310993,0.02,50
24.328993,0.018,50
24.349993,0.021,50
24.370993,0.021,50
24.388992,0.018,50
24.410992,0.022,50
24.430992,0.02,50
24.448992,0.018,50
24.468992,0.02,50
24.490992,0.022,50
24.511992,0.021,50
24.529991,0.018,50
24.549992,0.02,2500
24.571991,0.022,2500
24.598991,0.027,2500
24.62499,0.026,2500
24.65099,0.026,2500
24.67599,0.025,2500
24.701988,0.026,2500
24.728989,0.027,2500
24.754988,0.026,2500
24.782988,0.028,2500
24.808987,0.026,2500
24.836987,0.028,2500
24.862986,0.026,2500
24.888985,0.026,2500
24.915985,0.027,2500
24.941984,0.026,2500
24.967983,0.026,2500
24.992983,0.025,2500
25.016983,0.024,2500
25.040983,0.024,2500
25.062983,0.022,2500
25.083982,0.021,2500
25.104982,0.021,2500
25.127983,0.023,2500
25.146982,0.019,2500
25.165981,0.019,2500
25.186981,0.021,2500
25.20598,0.019,2500
25.22998,0.024,2500
25.24798,0.018,2500
25.26998,0.022,2500
25.28798,0.018,0
25.308979,0.021,0
25.32898,0.02,0
25.34698,0.018,0
25.365978,0.019,0
25.386978,0.021,0
25.406979,0.02,0
25.427979,0.021,0
25.448978,0.021,0
25.465979,0.017,0
25.48598,0.02,0
25.506979,0.021,0
